Mach number [-], Prandtl-Meyer function [degree], gamma=1.4
7.24,92.19527,
7.25,92.244624,
7.26,92.293855,
7.27,92.342964,
7.28,92.391951,
7.29,92.440816,
7.3,92.489561,
7.31,92.538184,
7.32,92.586688,
7.33,92.635071,
7.34,92.683335,
7.35,92.731481,
7.36,92.779507,
7.37,92.827416,
7.38,92.875207,
7.39,92.92288,
7.4,92.970437,
7.41,93.017878,
7.42,93.065202,
7.43,93.112411,
7.44,93.159504,
7.45,93.206483,
7.46,93.253347,
7.47,93.300097,
7.48,93.346734,
7.49,93.393258,
7.5,93.439668,
7.51,93.485967,
7.52,93.532153,
7.53,93.578228,
7.54,93.624191,
7.55,93.670044,
7.56,93.715786,
7.57,93.761418,
7.58,93.80694,
7.59,93.852354,
7.6,93.897658,
7.61,93.942853,
7.62,93.987941,
7.63,94.032921,
7.64,94.077793,
7.65,94.122558,
7.66,94.167217,
7.67,94.211769,
7.68,94.256215,
7.69,94.300556,
7.7,94.344792,
7.71,94.388922,
7.72,94.432948,
7.73,94.47687,
7.74,94.520689,
7.75,94.564404,
7.76,94.608015,
7.77,94.651524,
7.78,94.694931,
7.79,94.738236,
7.8,94.781439,
7.81,94.82454,
7.82,94.867541,
7.83,94.910441,
7.84,94.953241,
7.85,94.995941,
7.86,95.038541,
7.87,95.081042,
7.88,95.123444,
7.89,95.165748,
7.9,95.207953,
7.91,95.25006,
7.92,95.29207,
7.93,95.333982,
7.94,95.375797,
7.95,95.417516,
7.96,95.459139,
7.97,95.500665,
7.98,95.542096,
7.99,95.583431,
8,95.624672,
8.01,95.665817,
8.02,95.706869,
8.03,95.747826,
8.04,95.78869,
8.05,95.82946,
8.06,95.870137,
8.07,95.910721,
8.08,95.951212,
8.09,95.991612,
8.1,96.031919,
8.11,96.072135,
8.12,96.11226,
8.13,96.152293,
8.14,96.192236,
8.15,96.232089,
8.16,96.271851,
8.17,96.311523,
8.18,96.351107,
8.19,96.3906,
8.2,96.430005,
8.21,96.469322,
8.22,96.50855,
8.23,96.547689,
8.24,96.586742,
8.25,96.625706,
8.26,96.664584,
8.27,96.703374,
8.28,96.742078,
8.29,96.780696,
8.3,96.819227,
8.31,96.857673,
8.32,96.896033,
8.33,96.934308,
8.34,96.972498,
8.35,97.010604,
8.36,97.048624,
8.37,97.086561,
8.38,97.124414,
8.39,97.162184,
8.4,97.19987,
8.41,97.237473,
8.42,97.274993,
8.43,97.312431,
8.44,97.349786,
8.45,97.387059,
8.46,97.424251,
8.47,97.461361,
8.48,97.49839,
8.49,97.535338,
8.5,97.572206,
8.51,97.608993,
8.52,97.645699,
8.53,97.682326,
8.54,97.718873,
8.55,97.755341,
8.56,97.79173,
8.57,97.828039,
8.58,97.86427,
8.59,97.900423,
8.6,97.936497,
8.61,97.972494,
8.62,98.008413,
8.63,98.044254,
8.64,98.080018,
8.65,98.115706,
8.66,98.151316,
8.67,98.18685,
8.68,98.222308,
8.69,98.25769,
8.7,98.292996,
8.71,98.328227,
8.72,98.363382,
8.73,98.398462,
8.74,98.433468,
8.75,98.468399,
8.76,98.503255,
8.77,98.538038,
8.78,98.572746,
8.79,98.607381,
8.8,98.641943,
8.81,98.676431,
8.82,98.710847,
8.83,98.745189,
8.84,98.779459,
8.85,98.813657,
8.86,98.847783,
8.87,98.881837,
8.88,98.915819,
8.89,98.94973,
8.9,98.98357,
8.91,99.017338,
8.92,99.051036,
8.93,99.084664,
8.94,99.118221,
8.95,99.151708,
8.96,99.185125,
8.97,99.218472,
8.98,99.25175,
8.99,99.284959,
9,99.318099,
9.01,99.35117,
9.02,99.384172,
9.03,99.417106,
9.04,99.449971,
9.05,99.482769,
9.06,99.515499,
9.07,99.548161,
9.08,99.580756,
9.09,99.613283,
9.1,99.645744,
9.11,99.678138,
9.12,99.710465,
9.13,99.742726,
9.14,99.774921,
9.15,99.80705,
9.16,99.839113,
9.17,99.87111,
9.18,99.903043,
9.19,99.934909,
9.2,99.966711,
9.21,99.998448,
9.22,100.030121,
9.23,100.061729,
9.24,100.093273,
9.25,100.124753,
9.26,100.156169,
9.27,100.187521,
9.28,100.21881,
9.29,100.250036,
9.3,100.281198,
9.31,100.312298,
9.32,100.343335,
9.33,100.374309,
9.34,100.405221,
9.35,100.436071,
9.36,100.466859,
9.37,100.497585,
9.38,100.52825,
9.39,100.558853,
9.4,100.589394,
9.41,100.619875,
9.42,100.650295,
9.43,100.680654,
9.44,100.710953,
9.45,100.741191,
9.46,100.771369,
9.47,100.801487,
9.48,100.831546,
9.49,100.861544,
9.5,100.891483,
9.51,100.921363,
9.52,100.951184,
9.53,100.980945,
9.54,101.010648,
9.55,101.040293,
9.56,101.069878,
9.57,101.099406,
9.58,101.128875,
9.59,101.158287,
9.6,101.187641,
9.61,101.216937,
9.62,101.246175,
9.63,101.275357,
9.64,101.304481,
9.65,101.333548,
9.66,101.362559,
9.67,101.391513,
9.68,101.42041,
9.69,101.449251,
9.7,101.478036,
9.71,101.506765,
9.72,101.535438,
9.73,101.564056,
9.74,101.592618,
9.75,101.621124,
9.76,101.649576,
9.77,101.677972,
9.78,101.706314,
9.79,101.7346,
9.8,101.762833,
9.81,101.791011,
9.82,101.819134,
9.83,101.847204,
9.84,101.875219,
9.85,101.903181,
9.86,101.931089,
9.87,101.958944,
9.88,101.986745,
9.89,102.014493,
9.9,102.042188,
9.91,102.06983,
9.92,102.097419,
9.93,102.124956,
9.94,102.152441,
9.95,102.179873,
9.96,102.207252,
9.97,102.23458,
9.98,102.261856,
9.99,102.28908,
10,102.316253,
